"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256"
0,0,0,0,0,0.036,0.398,0.8755,0.733,0.617,0.0955,0,0,0,0,0,0,0,0,0,0.315,0.8695,1,1,1,1,0.822,0.055,0,0,0,0,0,0,0,0,0.808,1,0.844,0.2725,0.1345,0.8295,1,0.3565,0,0,0,0,0,0,0,0,0.312,0.407,0.063,0,0,0.493,1,0.3735,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.7505,1,0.23,0,0,0,0,0,0,0,0,0,0.001,0.3295,0.648,0.6855,1,0.7085,0.0055,0,0,0,0,0,0,0,0,0,0.496,1,1,1,1,0.8805,0.1345,0,0,0,0,0,0,0,0,0,0.621,1,1,0.6595,0.6295,1,0.871,0.1215,0,0,0,0,0,0,0,0,0.0125,0.2665,0.0055,0,0,0.4145,0.999,0.8345,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614,1,0.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.959,0.9665,0.103,0,0,0,0.167,0.6685,0.612,0.046,0,0,0,0,0,0,0.709,1,0.371,0,0,0.377,1,1,0.6775,0.021,0,0,0,0,0,0,0.4615,1,0.672,0,0,0.5375,1,1,0.8245,0.628,0.4,0.3245,0.1335,0.1335,0.1335,0.2835,0.8245,1,0.5465,0,0,0.0205,0.469,0.9105,1,1,1,1,1,1,1,1,1,0.7915,0.0785,0,0,0,0,0.0615,0.337,0.587,0.733,0.8195,1,1,0.8955,0.7195,0.4005,0.0585,0,0
0,0,0,0.085,0.721,1,1,0.7395,0.336,0.0265,0,0,0,0,0,0,0,0,0,0.4875,0.7595,0.562,0.6695,0.881,1,0.728,0.1465,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0.457,0.9215,0.8405,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2665,1,0.3605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1405,1,0.3985,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0.752,0.9725,0.0995,0,0,0,0,0,0,0,0,0,0,0.1255,0.5915,0.968,1,0.4955,0.0225,0,0,0,0,0,0,0,0,0.1345,0.715,0.9825,1,1,1,1,0.7645,0.0765,0,0,0,0,0,0,0,0.372,0.96,0.8275,0.514,0.32,0.32,0.3475,0.9115,0.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5585,0.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6235,0.87,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0.017,0.847,0.6405,0,0,0,0,0,0,0.838,0.024,0,0,0,0,0,0.518,1,0.2315,0,0,0,0,0,0,0.9645,0.37,0,0,0,0.058,0.5675,0.9985,0.607,0.002,0,0,0,0,0,0,0.528,0.9785,0.6465,0.4935,0.6935,0.9255,0.9875,0.528,0.0105,0,0,0,0,0,0,0,0.023,0.417,0.821,1,0.8355,0.6725,0.2465,0,0,0,0,0,0
0,0,0,0,0,0.448,0.7745,0.7895,0.7895,0.9285,0.7675,0.056,0,0,0,0,0,0,0,0,0,0.54,0.999,1,1,1,1,0.782,0.139,0,0,0,0,0,0,0,0,0,0.0995,0.1055,0.1055,0.1055,0.155,0.6165,0.922,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.9925,0.4735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3655,1,0.7175,0,0,0,0,0,0.031,0.3045,0.3935,0.2825,0.03,0,0,0.216,0.958,0.9965,0.5775,0,0,0,0,0,0.708,1,1,1,0.93,0.8255,0.684,0.9175,0.988,0.532,0.002,0,0,0,0,0,0.475,0.9555,1,1,1,1,1,1,0.867,0.068,0,0,0,0,0,0,0,0.1005,0.4115,0.421,0.5095,0.342,0.077,0.1355,0.727,0.8645,0.1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.831,0.844,0.0755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1765,0.945,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578,0.932,0.052,0.344,0.2765,0,0,0,0,0,0,0,0,0,0,0.012,0.8205,1,0.428,0.153,0.8105,0.611,0.344,0.1655,0.088,0,0,0,0,0,0.0845,0.667,1,0.9875,0.186,0,0.0425,0.512,0.947,1,0.988,0.895,0.895,0.895,0.895,0.895,0.94,1,0.995,0.503,0,0,0,0,0.057,0.3375,0.4715,0.694,0.7895,0.9055,1,1,0.8575,0.5535,0.237,0,0
0,0,0,0,0,0,0.4465,1,1,0.9385,0.625,0.0725,0,0,0,0,0,0,0,0,0,0.3855,0.9935,0.933,0.6695,0.927,1,0.8195,0.0715,0,0,0,0,0,0,0,0.012,0.898,0.8995,0.0725,0,0.0435,0.773,1,0.356,0,0,0,0,0,0,0,0.0975,0.9975,0.5105,0,0,0.4265,0.9905,0.968,0.12,0,0,0,0,0,0,0,0.0425,0.4005,0.1015,0.3155,0.777,1,0.9995,0.516,0,0,0,0,0,0,0,0,0,0.081,0.9315,1,1,0.954,0.3795,0,0,0,0,0,0,0,0,0,0,0.0135,0.554,0.8965,1,0.9865,0.557,0.0205,0,0,0,0,0,0,0,0.224,0.1635,0,0,0.062,0.4975,0.9305,1,0.821,0.108,0,0,0,0,0,0.405,0.8785,0.0315,0,0,0,0,0.0515,0.6865,0.9995,0.873,0.075,0,0,0,0.1855,0.986,0.4755,0,0,0,0,0,0,0,0.5385,1,0.676,0,0,0,0.398,1,0.249,0,0,0,0,0,0,0,0.072,0.8625,0.989,0.1525,0,0,0.417,1,0.396,0,0,0,0,0,0,0,0,0.649,1,0.455,0,0,0.0895,0.876,1,0.5805,0.07,0,0,0,0,0,0,0.654,1,0.408,0,0,0,0.076,0.6905,1,0.9345,0.6705,0.3695,0.179,0.025,0.0165,0.332,0.9615,0.9905,0.205,0,0,0,0,0.0225,0.4475,0.945,1,1,1,0.9085,0.898,1,1,0.4565,0,0,0,0,0,0,0,0.043,0.36,0.661,0.9065,1,1,0.8165,0.428,0.003,0,0
0,0,0,0,0.163,0.746,0.7865,0.8775,0.491,0.355,0.0335,0,0,0,0,0,0,0,0,0,0.0305,0.4485,0.4935,0.4025,0.4935,0.687,0.8625,0.1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0.8625,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1205,1,0.114,0,0,0,0,0,0,0,0,0.021,0.0785,0,0.042,0.1905,0.679,0.85,0.022,0,0,0,0,0,0,0,0,0.287,0.984,0.88,0.9315,0.99,0.5855,0.0415,0,0,0,0,0,0,0,0,0,0,0.2445,0.529,0.8045,0.8605,0.1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00850000000000001,0.5535,0.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0.8155,0.2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3055,0.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.9485,0.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7405,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744,0.4105,0,0,0,0,0,0,0.4175,0.4355,0,0,0,0,0.017,0.186,0.9465,0.153,0,0,0,0,0,0,0.097,0.7495,0.694,0.4095,0.28,0.3355,0.7055,0.965,0.424,0.002,0,0,0,0,0,0,0,5e-04,0.364,0.7685,1,1,0.8445,0.235,0,0,0,0,0
0,0,0,0,0.665,0.761,0.8465,1,0.893,0.7045,0.286,0.0105,0,0,0,0,0,0,0,0,0.3755,0.718,0.9105,0.9105,0.9105,0.9645,1,0.678,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0.7515,1,0.2675,0,0,0,0,0,0,0,0,0,0,0,0,0.1865,0.906,0.9865,0.1875,0,0,0,0,0,0,0,0,0,0,0.0145,0.3455,0.963,1,0.411,0,0,0,0,0,0,0,0.1505,0.411,0.5075,0.618,0.8725,1,0.913,0.3845,5e-04,0,0,0,0,0,0,0,0.8985,1,1,1,1,1,0.923,0.3425,0,0,0,0,0,0,0,0,0.2585,0.642,0.521,0.403,0.289,0.403,0.833,0.9925,0.4485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.6585,0.9975,0.2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,1,0.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.808,0.8685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.8645,0.939,0,0,0,0,0,0,0.1215,0.654,0.084,0,0,0,0,0.3605,1,0.7885,0,0,0,0,0,0,0.6785,0.9865,0.3855,0.1495,0.1495,0.078,0.395,0.943,1,0.36,0,0,0,0,0,0,0.35,0.9795,1,1,1,0.9575,1,1,0.6535,0.0145,0,0,0,0,0,0,0,0.192,0.4835,0.8085,1,0.988,0.7345,0.3215,0.0125,0,0,0,0
0,0,0,0,0,0,0.0975,0.7515,0.7955,0.5745,0.219,0.0865,0,0,0,0,0,0,0,0,0.029,0.382,0.927,1,0.9235,0.982,1,0.9365,0.2265,0,0,0,0,0,0,0.3015,0.878,1,0.995,0.626,0.1025,0.0435,0.207,0.997,0.641,0,0,0,0,0,0,0.394,0.8895,0.4795,0.0785,0,0,0.1155,0.7585,1,0.456,0,0,0,0,0,0,0,0.00800000000000001,0.077,0.077,0.0905,0.4205,0.9055,1,0.861,0.1215,0,0,0,0,0,0,0,0.5815,1,1,1,1,1,0.6245,0.037,0,0,0,0,0,0,0,0,0.413,0.769,0.8535,0.6585,0.564,0.752,0.9645,0.3745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5765,0.9715,0.2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00700000000000001,0.7865,0.8365,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,1,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.9005,0.7355,0,0,0,0,0.3595,0.0825,0,0,0,0,0,0,0,0.00950000000000001,0.912,0.8665,0,0,0,0,0.8315,0.5205,0,0,0,0,0,0,0,0.338,1,0.666,0,0,0,0,0.469,0.945,0.4265,0.155,0.019,0,0.00900000000000001,0.1825,0.6325,0.9715,0.986,0.2325,0,0,0,0,0.1325,0.8425,0.9945,1,0.907,0.846,0.868,1,1,0.9775,0.357,0,0,0,0,0,0,0,0.137,0.319,0.657,0.795,0.921,0.7435,0.531,0.088,0,0,0,0
0,0,0,0,5e-04,0.5005,0.9595,1,0.7425,0.408,0.024,0,0,0,0,0,0,0,0,0,0.3485,0.9995,1,1,1,1,0.641,0.027,0,0,0,0,0,0,0,0,0.238,0.973,1,0.8015,0.703,1,1,0.6135,0.0185,0,0,0,0,0,0,0,0,0.1905,0.858,0.836,0.073,1,1,1,0.3315,0,0,0,0,0,0,0,0,0,0.2325,0.1645,0.202,1,1,0.944,0.259,0,0,0,0,0,0,0,0,0,0,0,0.825,1,1,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0.555,1,1,0.577,0.00850000000000001,0,0,0,0,0,0,0,0,0,0,0,0.0475,0.742,1,1,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0.7525,1,1,0.247,0,0,0,0,0.104,0.4225,0.0025,0,0,0,0,0,0.095,1,1,0.682,0,0,0,0,0.7505,1,0.332,0,0,0,0,0,0.0445,0.8795,1,0.8195,0,0,0,0,0.712,1,0.8135,0.02,0,0,0,0,0,0.7535,1,0.792,0,0,0,0,0.279,1,1,0.785,0.176,0,0,0,0.0435,0.839,1,0.762,0,0,0,0,0.014,0.5655,1,1,0.953,0.749,0.5455,0.6395,0.923,1,0.9985,0.3395,0,0,0,0,0,0.017,0.5945,0.9375,1,1,1,1,1,1,0.781,0,0,0,0,0,0,0,0,0.084,0.356,0.8225,1,1,0.648,0.3215,0.0645,0,0,0
0,0,0,0,0,0.246,0.686,0.93,1,0.719,0.2105,0.003,0,0,0,0,0,0,0,0,0.2955,0.9725,1,0.9935,0.699,1,1,0.369,0,0,0,0,0,0,0,0,0.665,1,1,0.9585,0.0395,0.347,1,0.8085,0,0,0,0,0,0,0,0,0.058,0.648,0.4055,0.107,0,0.00650000000000001,0.9845,0.8915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.974,0.9725,0.0015,0,0,0,0,0,0,0,0,0,0,0.116,0.6665,0.722,1,0.919,0.0275,0,0,0,0,0,0,0,0,0,0,0.1585,0.934,1,1,0.598,0,0,0,0,0,0,0,0,0,0,0,0,0.124,0.69,0.9905,0.8735,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559,1,0.7845,0,0,0,0,0,0.275,0.4655,0.0715,0,0,0,0,0,0.0845,0.912,0.996,0.019,0,0,0,0,0.5685,1,0.72,0.00600000000000001,0,0,0,0,0,0.7785,1,0.3005,0,0,0,0,0.4615,1,1,0.5835,0,0,0,0,0,0.388,1,0.494,0,0,0,0,0.0285,0.6365,1,1,0.469,0.0465,0,0,0.029,0.6025,1,0.577,0,0,0,0,0,0.0175,0.63,1,1,0.787,0.51,0.51,0.7975,1,1,0.3395,0,0,0,0,0,0,0.065,0.577,1,1,1,1,1,0.8505,0.2645,0.00900000000000001,0,0,0,0,0,0,0,0.0035,0.287,0.6445,1,1,0.715,0.126,0,0,0,0
0,0,0,0,0,0,0.2155,0.5995,1,1,0.952,0.7285,0.4845,0.0335,0,0,0,0,0.0145,0.322,0.644,0.882,0.963,1,1,0.908,0.8985,0.973,1,0.748,0,0,0,0,0.3845,1,1,1,0.9985,0.8245,0.314,0.022,0,0.2825,0.955,1,0.3315,0,0,0,0.193,0.794,0.7965,0.5725,0.2915,0.067,0.2115,0.4745,0.6015,0.9285,1,0.9815,0.189,0,0,0,0,0.017,0.561,0.661,0.6795,0.952,1,1,1,1,0.945,0.2555,0,0,0,0,0,0.0335,0.8805,1,1,1,1,1,0.874,0.5135,0.1815,0,0,0,0,0,0,0,0.0745,0.3845,0.2375,0.239,0.6975,1,0.913,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.358,0.962,0.896,0.2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.972,0.9665,0.2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.9735,0.9135,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0.1045,0.938,1,0.417,0,0,0.2705,0.782,0.377,0,0,0,0,0,0,0.1175,0.789,1,0.9805,0.11,0,0,0.274,0.9585,0.9875,0.421,0.1695,0.053,0.148,0.1775,0.517,0.935,1,1,0.6445,0,0,0,0,0.2015,0.7685,0.9665,1,0.9335,0.984,1,1,1,0.976,0.5935,0.0405,0,0,0,0,0,0,0.106,0.401,0.7285,0.984,0.988,0.7285,0.5245,0.212,0,0,0,0
