Date,PUT_90,PUT_75,PUT_60,PUT_50,PUT_40,PUT_25,PUT_10,ATM,CALL_10,CALL_25,CALL_40,CALL_50,CALL_60,CALL_75,CALL_90
2005/1/3,11.48513,11.637,11.787,11.88588,12.61481,13.677,14.6625,12.0005,11.48481,11.63619,11.78569,11.88438,12.60363,13.66669,14.65281
2005/1/4,13.4527,11.73719,11.80619,11.85213,12.50881,13.4785,14.383,11.9063,11.66763,11.73713,11.80613,11.85188,12.50688,13.47681,14.38138
2005/1/5,13.4918,11.79988,11.94081,12.03381,12.68488,13.65469,14.56019,12.0342,11.6595,11.80213,11.94288,12.036,12.7005,13.66919,14.57369
2005/1/6,12.9494,11.64731,11.572,11.52163,12.08738,12.9395,13.73881,11.52,11.72131,11.6465,11.57131,11.52081,12.09638,12.94788,13.74669
2005/1/7,12.8366,11.329,11.22613,11.15688,11.69213,12.4985,13.256,11.1555,11.42988,11.32788,11.22488,11.15581,11.70131,12.50713,13.26413
2005/1/10,12.6316,11.27913,11.143,11.05131,11.77613,12.8305,13.80463,11.0877,11.41363,11.27919,11.14313,11.0515,11.77469,12.8295,13.804
2005/1/11,12.7326,11.4975,11.25788,11.09531,11.92613,13.13,14.2325,11.0924,11.73131,11.4965,11.25688,11.09431,11.93131,13.13469,14.23681
2005/1/12,12.4457,10.91281,10.39838,10.04069,10.91769,12.18131,13.32563,10.0401,11.3995,10.908,10.39331,10.0355,10.93063,12.19281,13.33613
2005/1/13,12.6766,11.44838,10.53513,9.8795,10.83819,12.208,13.43881,9.8604,12.29019,11.44431,10.53063,9.874688,10.845,12.214,13.44438
2005/1/14,12.3798,10.58869,9.519688,8.734625,9.981375,11.69131,13.18119,8.7597,11.54763,10.576,9.5055,8.719125,10.00469,11.71119,13.19881
2005/1/18,11.9257,13.56669,11.68819,10.24638,12.32869,15.02019,17.29788,10.2515,15.206,13.55669,11.67663,10.23312,12.34581,15.03419,17.31013
2005/1/19,12.5065,14.03919,11.646,9.728688,12.39269,15.692,18.40919,9.8563,16.05413,14.00938,11.61,9.685625,12.4435,15.73213,18.44338
2005/1/20,12.909,9.200375,8.119625,7.310813,12.63513,17.91419,21.95881,7.3359,10.16681,9.200188,8.119312,7.3105,12.63669,17.91519,21.95963
2005/1/21,13.1571,11.68281,12.03113,12.25788,12.79319,13.59338,14.34888,12.2835,11.328,11.68688,12.03513,12.26169,12.80269,13.60219,14.35738
2005/1/24,13.2918,11.94063,12.20431,12.377,13.01381,13.96,14.846,12.4485,11.671,11.94069,12.2045,12.37719,13.01431,13.96038,14.84638
2005/1/25,12.8792,11.35231,11.60419,11.76913,12.38519,13.30138,14.1585,11.7911,11.09713,11.35469,11.6065,11.77138,12.39413,13.30969,14.16631
2005/1/26,12.3809,10.67231,10.92519,11.09063,11.67719,12.55,13.366,11.0927,10.41831,10.67719,10.92988,11.09519,11.69438,12.56613,13.38113
