Security,US0001M  Index                                                  ,,Security,US0002M  Index                                                  ,,Security,US0003M  Index                                                  
Start Date,38355,,Start Date,38355,,Start Date,38355
End Date,44258,,End Date,44258,,End Date,44258
Period,D,,Period,D,,Period,D
,,,,,,,
Date,PX_ASK,,Date,PX_ASK,,Date,PX_ASK
2005/1/4,2.4,,2005/1/4,2.49,,2005/1/4,2.57
2005/1/5,2.4,,2005/1/5,2.50625,,2005/1/5,2.59
2005/1/6,2.42,,2005/1/6,2.52,,2005/1/6,2.61
2005/1/7,2.43,,2005/1/7,2.52,,2005/1/7,2.61
2005/1/10,2.44,,2005/1/10,2.53,,2005/1/10,2.62
2005/1/11,2.4425,,2005/1/11,2.53013,,2005/1/11,2.63
2005/1/12,2.45,,2005/1/12,2.54,,2005/1/12,2.64
2005/1/13,2.48,,2005/1/13,2.56,,2005/1/13,2.66
2005/1/14,2.48,,2005/1/14,2.56,,2005/1/14,2.66
2005/1/17,2.5,,2005/1/17,2.57,,2005/1/17,2.67
2005/1/18,2.5,,2005/1/18,2.57,,2005/1/18,2.67
2005/1/19,2.50375,,2005/1/19,2.57313,,2005/1/19,2.68
2005/1/20,2.52,,2005/1/20,2.58938,,2005/1/20,2.6925
2005/1/21,2.53,,2005/1/21,2.61,,2005/1/21,2.7
2005/1/24,2.54438,,2005/1/24,2.61375,,2005/1/24,2.7
2005/1/25,2.55,,2005/1/25,2.6175,,2005/1/25,2.7
2005/1/26,2.55875,,2005/1/26,2.62625,,2005/1/26,2.71
2005/1/27,2.5775,,2005/1/27,2.64,,2005/1/27,2.73
2005/1/28,2.59,,2005/1/28,2.65,,2005/1/28,2.7425
2005/1/31,2.59,,2005/1/31,2.66,,2005/1/31,2.75
2005/2/1,2.59,,2005/2/1,2.66,,2005/2/1,2.75
2005/2/2,2.59,,2005/2/2,2.66,,2005/2/2,2.75
2005/2/3,2.59,,2005/2/3,2.68,,2005/2/3,2.77
2005/2/4,2.59,,2005/2/4,2.68,,2005/2/4,2.77
2005/2/7,2.59,,2005/2/7,2.6825,,2005/2/7,2.77
2005/2/8,2.59,,2005/2/8,2.685,,2005/2/8,2.77063
2005/2/9,2.59,,2005/2/9,2.68938,,2005/2/9,2.77438
2005/2/10,2.59,,2005/2/10,2.7,,2005/2/10,2.79
2005/2/11,2.59,,2005/2/11,2.7,,2005/2/11,2.79438
2005/2/14,2.59,,2005/2/14,2.71,,2005/2/14,2.8
2005/2/15,2.59,,2005/2/15,2.71,,2005/2/15,2.81
2005/2/16,2.59,,2005/2/16,2.71875,,2005/2/16,2.82
2005/2/17,2.59813,,2005/2/17,2.74,,2005/2/17,2.8475
2005/2/18,2.59938,,2005/2/18,2.74,,2005/2/18,2.85
2005/2/21,2.61,,2005/2/21,2.75,,2005/2/21,2.86
2005/2/22,2.62,,2005/2/22,2.76,,2005/2/22,2.87
2005/2/23,2.65,,2005/2/23,2.76125,,2005/2/23,2.87313
2005/2/24,2.67,,2005/2/24,2.78,,2005/2/24,2.89
2005/2/25,2.69,,2005/2/25,2.79,,2005/2/25,2.91
2005/2/28,2.71625,,2005/2/28,2.8,,2005/2/28,2.92
2005/3/1,2.72,,2005/3/1,2.81,,2005/3/1,2.93
2005/3/2,2.72,,2005/3/2,2.82,,2005/3/2,2.94
2005/3/3,2.74563,,2005/3/3,2.84,,2005/3/3,2.95
2005/3/4,2.75,,2005/3/4,2.84688,,2005/3/4,2.95875
2005/3/7,2.76,,2005/3/7,2.85,,2005/3/7,2.96
2005/3/8,2.77,,2005/3/8,2.86,,2005/3/8,2.97
2005/3/9,2.77125,,2005/3/9,2.86188,,2005/3/9,2.98
2005/3/10,2.8,,2005/3/10,2.9,,2005/3/10,3
2005/3/11,2.81,,2005/3/11,2.91,,2005/3/11,3.01
2005/3/14,2.82,,2005/3/14,2.92,,2005/3/14,3.02
2005/3/15,2.83,,2005/3/15,2.93,,2005/3/15,3.03
2005/3/16,2.83375,,2005/3/16,2.94,,2005/3/16,3.04
2005/3/17,2.85,,2005/3/17,2.96,,2005/3/17,3.05
2005/3/18,2.85,,2005/3/18,2.96,,2005/3/18,3.05
2005/3/21,2.85,,2005/3/21,2.96,,2005/3/21,3.0525
2005/3/22,2.85,,2005/3/22,2.97,,2005/3/22,3.06
2005/3/23,2.85,,2005/3/23,2.99375,,2005/3/23,3.09
2005/3/24,2.85,,2005/3/24,3,,2005/3/24,3.09
2005/3/29,2.85,,2005/3/29,3,,2005/3/29,3.0925
2005/3/30,2.86,,2005/3/30,3.01,,2005/3/30,3.1
2005/3/31,2.87,,2005/3/31,3.03,,2005/3/31,3.12
2005/4/1,2.87,,2005/4/1,3.03,,2005/4/1,3.12
2005/4/4,2.87063,,2005/4/4,3.03,,2005/4/4,3.12
2005/4/5,2.89,,2005/4/5,3.04,,2005/4/5,3.1225
2005/4/6,2.89125,,2005/4/6,3.04,,2005/4/6,3.12313
2005/4/7,2.91,,2005/4/7,3.05,,2005/4/7,3.13
2005/4/8,2.92,,2005/4/8,3.05,,2005/4/8,3.13
2005/4/11,2.93,,2005/4/11,3.06,,2005/4/11,3.14
2005/4/12,2.95,,2005/4/12,3.06875,,2005/4/12,3.14
2005/4/13,2.95375,,2005/4/13,3.07,,2005/4/13,3.14063
2005/4/14,2.97,,2005/4/14,3.07875,,2005/4/14,3.15
2005/4/15,2.98,,2005/4/15,3.08,,2005/4/15,3.15
2005/4/18,2.99,,2005/4/18,3.08,,2005/4/18,3.14475
2005/4/19,3,,2005/4/19,3.08,,2005/4/19,3.15
2005/4/20,3.00063,,2005/4/20,3.08,,2005/4/20,3.15
2005/4/21,3.02,,2005/4/21,3.09313,,2005/4/21,3.16063
2005/4/22,3.03,,2005/4/22,3.1025,,2005/4/22,3.17
2005/4/25,3.04,,2005/4/25,3.10813,,2005/4/25,3.18
2005/4/26,3.06,,2005/4/26,3.11563,,2005/4/26,3.18688
2005/4/27,3.06438,,2005/4/27,3.12,,2005/4/27,3.19
2005/4/28,3.08125,,2005/4/28,3.14,,2005/4/28,3.21
2005/4/29,3.08875,,2005/4/29,3.14,,2005/4/29,3.21
2005/5/3,3.09,,2005/5/3,3.145,,2005/5/3,3.21938
2005/5/4,3.09,,2005/5/4,3.15,,2005/5/4,3.22
2005/5/5,3.09,,2005/5/5,3.16,,2005/5/5,3.2285
2005/5/6,3.09,,2005/5/6,3.16,,2005/5/6,3.23
2005/5/9,3.09,,2005/5/9,3.17,,2005/5/9,3.25
2005/5/10,3.09,,2005/5/10,3.17,,2005/5/10,3.25
2005/5/11,3.09,,2005/5/11,3.175,,2005/5/11,3.26
2005/5/12,3.09,,2005/5/12,3.185,,2005/5/12,3.26813
2005/5/13,3.09,,2005/5/13,3.19,,2005/5/13,3.27
2005/5/16,3.09,,2005/5/16,3.19,,2005/5/16,3.27
2005/5/17,3.09,,2005/5/17,3.19,,2005/5/17,3.27
