Date,SPX,VIX,PUT90,PUT75,PUT60,PUT50,PUT40,PUT25,PUT10,ATM,CALL10,CALL25,CALL40,CALL50,CALL60,CALL75,CALL90
1/3/2005,1202.08,14.08,11.36681,11.63763,11.90231,12.0755,12.64719,13.496,14.29463,12.1911,11.36481,11.6355,11.9,12.07313,12.63881,13.48819,14.28719
1/4/2005,1188.05,13.98,13.4527,11.86931,12.08931,12.23369,12.75013,13.52738,14.26231,12.2949,11.64538,11.8695,12.0895,12.234,12.75088,13.52813,14.263
1/5/2005,1183.74,14.09,13.4918,12.02119,12.31338,12.50438,12.95063,13.62788,14.27313,12.5076,11.72869,12.028,12.32,12.51088,12.9665,13.64313,14.28763
1/6/2005,1187.89,13.58,12.9494,11.59131,11.8305,11.98731,12.4585,13.17263,13.85,11.9965,11.35113,11.59519,11.83431,11.991,12.47038,13.18381,13.86063
1/7/2005,1186.19,13.49,12.8366,11.6005,11.7605,11.86588,12.26731,12.88338,13.47138,11.87,11.4415,11.60363,11.7635,11.86888,12.27938,12.895,13.48238
1/10/2005,1190.24,13.23,12.6316,11.15863,11.39731,11.55369,11.97819,12.6165,13.22413,11.595,10.91588,11.15969,11.39838,11.55469,11.98113,12.61931,13.22681
1/11/2005,1182.99,13.19,12.7326,11.26663,11.45369,11.57669,12.01413,12.67781,13.30838,11.5914,11.07863,11.26881,11.45588,11.57888,12.02213,12.68538,13.31569
1/12/2005,1187.7,12.56,12.4457,11.00913,11.24069,11.39263,11.76838,12.33869,12.88369,11.3967,10.77738,11.01388,11.2455,11.39719,11.78038,12.35019,12.89481
1/13/2005,1177.45,12.84,12.6766,11.18969,11.46038,11.63738,12.011,12.57438,13.11363,11.6491,10.91663,11.19388,11.4645,11.64138,12.01969,12.58269,13.12163
1/14/2005,1184.52,12.43,12.3798,10.73863,10.973,11.1265,11.5075,12.08569,12.63738,11.1263,10.50513,10.7445,10.97881,11.13219,11.52231,12.09981,12.65088
1/18/2005,1195.98,12.47,11.9257,10.60413,10.86081,11.02863,11.40531,11.97281,12.5145,11.0367,10.34569,10.60863,10.86513,11.03288,11.41531,11.98231,12.52369
1/19/2005,1184.63,13.18,12.5065,11.19238,11.41238,11.55681,11.97231,12.60588,13.20913,11.5557,10.97388,11.19831,11.41819,11.5625,11.9895,12.62231,13.22469
1/20/2005,1175.41,13.83,12.909,11.63238,11.91288,12.09631,12.58363,13.31763,14.01319,12.1159,11.3485,11.63588,11.91638,12.09969,12.593,13.3265,14.02169
1/21/2005,1167.87,14.36,13.1571,11.7205,12.069,12.29581,12.82131,13.60769,14.35113,12.3221,11.36569,11.72469,12.07313,12.29981,12.83081,13.61669,14.35969
1/24/2005,1163.75,14.65,13.2918,12.04013,12.342,12.53913,13.11031,13.96419,14.76888,12.6115,11.731,12.04063,12.34238,12.5395,13.1115,13.96538,14.77
1/25/2005,1168.41,14.06,12.8792,11.50219,11.82981,12.04319,12.61788,13.47638,14.28331,12.0725,11.16881,11.50588,11.83338,12.04669,12.62781,13.48569,14.29213
1/26/2005,1174.07,13.44,12.3809,10.91819,11.23719,11.44488,12.01988,12.87988,13.686,11.4493,10.597,10.92538,11.24419,11.45181,12.03981,12.8985,13.7035
1/27/2005,1174.55,13.24,12.0611,10.5575,10.89131,11.10819,11.7145,12.61369,13.453,11.12,10.21888,10.56331,10.89688,11.11369,11.73038,12.6285,13.46688
1/28/2005,1171.36,13.24,12.0421,10.67613,10.98081,11.17919,11.81481,12.74813,13.61769,11.2821,10.36181,10.67531,10.97988,11.17831,11.81169,12.74531,13.615
1/31/2005,1181.27,12.82,11.49,10.23263,10.57888,10.80369,11.22681,11.85488,12.4515,10.8264,9.8785,10.23688,10.58313,10.80769,11.23463,11.86238,12.4585
2/1/2005,1189.41,12.03,11.2305,9.822188,10.08269,10.25269,10.75338,11.49938,12.19981,10.26,9.5595,9.827,10.08738,10.25731,10.76738,11.5125,12.21219
2/2/2005,1193.19,11.66,10.8424,9.420125,9.772,9.999688,10.54631,11.35119,12.10269,10.0074,9.061813,9.427,9.778625,10.00619,10.56238,11.36619,12.11681
2/3/2005,1189.89,11.79,10.926,9.700313,9.964188,10.13637,10.63638,11.38019,12.07838,10.1439,9.433875,9.705125,9.968875,10.141,10.65019,11.39313,12.0905
2/4/2005,1203.03,11.21,10.2987,9.040813,9.314625,9.492813,10.03938,10.84581,11.59619,9.4963,8.764625,9.046688,9.320313,9.498375,10.05712,10.86219,11.61163
2/7/2005,1201.72,11.73,10.6641,9.665188,9.863,9.992625,10.55369,11.39188,12.1725,9.9922,9.4685,9.670313,9.867875,9.9975,10.57563,11.41219,12.19163
2/8/2005,1202.3,11.6,10.5697,9.470688,9.709375,9.865313,10.40387,11.20338,11.94963,9.8704,9.230688,9.475375,9.714,9.869813,10.42,11.21838,11.96369
2/9/2005,1191.99,12,11.0133,9.815188,10.2165,10.47538,10.8955,11.51413,12.10119,10.503,9.401688,9.819813,10.22088,10.47969,10.90263,11.52088,12.10763
2/10/2005,1197.01,11.51,10.6701,9.464625,9.823188,10.05513,10.564,11.3145,12.01819,10.0636,9.099188,9.471625,9.829875,10.06169,10.57881,11.32831,12.03131
2/11/2005,1205.3,11.43,10.3915,9.281625,9.574,9.764188,10.28231,11.04463,11.7575,9.7965,8.9825,9.284375,9.576813,9.766813,10.28981,11.0515,11.764
2/14/2005,1206.14,11.52,10.5277,9.468125,9.776188,9.976375,10.50113,11.27563,12.00019,9.9883,9.1545,9.472875,9.780875,9.980875,10.51338,11.28713,12.011
2/15/2005,1210.13,11.27,10.2011,9.1985,9.4285,9.578688,10.00987,10.65113,11.25581,9.5925,8.965688,9.2015,9.431375,9.581625,10.0185,10.65919,11.2635
2/16/2005,1210.34,11.1,10.193,9.000188,9.230313,9.380625,9.847125,10.53788,11.18613,9.3947,8.767125,9.003188,9.233313,9.3835,9.856375,10.54663,11.19431
2/17/2005,1200.75,11.77,10.5655,9.528813,9.750813,9.895875,10.37863,11.09563,11.76888,9.9198,9.304125,9.531188,9.753125,9.898188,10.3865,11.10288,11.77588
2/18/2005,1201.59,11.18,10.5003,8.8575,9.102813,9.262688,9.781313,10.54413,11.25531,9.2823,8.608313,8.8605,9.105688,9.2655,9.790875,10.55288,11.2635
2/22/2005,1184.16,13.14,11.5059,10.53988,10.95919,11.23,11.70313,12.40188,13.06338,11.2614,10.10831,10.54469,10.96381,11.2345,11.71119,12.40963,13.07063
2/23/2005,1190.8,12.39,11.2292,9.927875,10.26569,10.48481,10.99888,11.7565,12.46813,10.5343,9.580313,9.929875,10.26769,10.48681,11.00363,11.76088,12.47219
2/24/2005,1200.2,11.57,10.738,9.196375,9.514813,9.721188,10.27488,11.0865,11.84263,9.7486,8.8705,9.200188,9.518375,9.724813,10.28463,11.0955,11.851
2/25/2005,1211.37,11.49,10.4473,9.289688,9.527,9.681875,10.1585,10.86413,11.52669,9.7096,9.048688,9.292125,9.529313,9.684188,10.16581,10.871,11.53319
2/28/2005,1203.6,12.08,11.0589,10.01238,10.28669,10.4655,11.07569,11.97388,12.80919,10.5155,9.7325,10.01437,10.28863,10.46738,11.08238,11.98013,12.815
3/1/2005,1210.41,12.04,11.0491,9.971188,10.24813,10.42863,10.89119,11.58038,12.23081,10.4437,9.690375,9.975125,10.25188,10.43231,10.90119,11.58981,12.23969
3/2/2005,1210.08,12.5,11.5352,10.377,10.6845,10.88463,11.40288,12.1735,12.89819,10.9063,10.06438,10.38113,10.68838,10.8885,11.41331,12.18331,12.90738
3/3/2005,1210.47,12.93,11.5726,10.58581,10.81188,10.96,11.46388,12.2205,12.933,10.9701,10.3585,10.58938,10.81538,10.9635,11.47619,12.23213,12.944
3/4/2005,1222.13,11.94,11.1233,9.8135,10.0575,10.217,10.81438,11.69088,12.50613,10.2977,9.5635,9.813688,10.05769,10.21712,10.815,11.69138,12.5065
3/7/2005,1225.31,12.26,11.3387,9.993688,10.22469,10.37581,10.9695,11.84719,12.66431,10.4131,9.7595,9.995875,10.22681,10.37788,10.97813,11.85519,12.67169
3/8/2005,1219.43,12.4,11.373,10.10737,10.35063,10.50963,11.12931,12.04038,12.88731,10.585,9.858813,10.108,10.35119,10.51019,11.1315,12.0425,12.88919
3/9/2005,1207.01,12.7,11.8084,10.76713,11.08919,11.29881,11.78369,12.50631,13.18931,11.3316,10.43869,10.77063,11.09263,11.30213,11.79163,12.51381,13.19638
3/10/2005,1209.25,12.49,11.7456,10.42713,10.74763,10.956,11.51163,12.332,13.10113,11.0226,10.09781,10.42831,10.74869,10.95713,11.51469,12.33488,13.10381
3/11/2005,1200.08,12.8,12.0628,10.77438,11.10531,11.3205,11.75381,12.39888,13.01213,11.3642,10.4355,10.77681,11.10763,11.32281,11.7585,12.40338,13.01631
3/14/2005,1206.83,12.39,11.9273,10.56438,10.8805,11.08619,11.57419,12.29688,12.97931,11.1614,10.23838,10.56431,10.88038,11.08613,11.574,12.29663,12.97913
3/15/2005,1197.75,13.15,12.3976,10.95363,11.26569,11.46913,12.01131,12.81719,13.57538,11.5267,10.63419,10.95538,11.2675,11.47081,12.016,12.82169,13.57963
3/16/2005,1188.07,13.49,12.6535,11.33831,11.66438,11.87681,12.41463,13.21413,13.96788,11.9551,11.00281,11.33863,11.66469,11.87713,12.41538,13.21481,13.96863
3/17/2005,1190.21,13.29,12.8899,10.9025,11.23819,11.45663,11.923,12.61569,13.27231,11.5225,10.55669,10.90313,11.23888,11.45731,11.92438,12.61713,13.27363
3/18/2005,1189.65,13.14,12.6843,10.7815,11.02138,11.17838,11.74169,12.58413,13.3735,11.2018,10.5395,10.78469,11.0245,11.1815,11.75313,12.59469,13.3835
3/21/2005,1183.79,13.61,12.9083,11.28788,11.53269,11.69313,12.14781,12.83531,13.48769,11.7053,11.04169,11.29181,11.5365,11.69688,12.159,12.84588,13.49781
3/22/2005,1171.71,14.27,13.2703,11.87413,12.1305,12.29838,12.79388,13.545,14.25663,12.3104,11.61663,11.8785,12.13481,12.30269,12.80719,13.5575,14.2685
3/23/2005,1172.53,14.06,13.4256,11.61819,11.86163,12.02113,12.57919,13.42019,14.21138,12.0443,11.37288,11.62138,11.86481,12.02431,12.59081,13.431,14.22163
