DATE,GS10,GS5,GS1
1953-04-01,2.83,2.62,2.36
1953-05-01,3.05,2.87,2.48
1953-06-01,3.11,2.94,2.45
1953-07-01,2.93,2.75,2.38
1953-08-01,2.95,2.80,2.28
1953-09-01,2.87,2.71,2.20
1953-10-01,2.66,2.43,1.79
1953-11-01,2.68,2.42,1.67
1953-12-01,2.59,2.32,1.66
1954-01-01,2.48,2.17,1.41
1954-02-01,2.47,2.04,1.14
1954-03-01,2.37,1.93,1.13
1954-04-01,2.29,1.87,0.96
1954-05-01,2.37,1.92,0.85
1954-06-01,2.38,1.92,0.82
1954-07-01,2.30,1.85,0.84
1954-08-01,2.36,1.90,0.88
1954-09-01,2.38,1.96,1.03
1954-10-01,2.43,2.02,1.17
1954-11-01,2.48,2.09,1.14
1954-12-01,2.51,2.16,1.21
1955-01-01,2.61,2.32,1.39
1955-02-01,2.65,2.38,1.57
1955-03-01,2.68,2.48,1.59
1955-04-01,2.75,2.55,1.75
1955-05-01,2.76,2.56,1.90
1955-06-01,2.78,2.59,1.91
1955-07-01,2.90,2.72,2.02
1955-08-01,2.97,2.86,2.37
1955-09-01,2.97,2.85,2.36
1955-10-01,2.88,2.76,2.39
1955-11-01,2.89,2.81,2.48
1955-12-01,2.96,2.93,2.73
1956-01-01,2.90,2.84,2.58
1956-02-01,2.84,2.74,2.49
1956-03-01,2.96,2.93,2.61
1956-04-01,3.18,3.20,2.92
1956-05-01,3.07,3.08,2.94
1956-06-01,3.00,2.97,2.74
1956-07-01,3.11,3.12,2.76
1956-08-01,3.33,3.41,3.10
1956-09-01,3.38,3.47,3.35
1956-10-01,3.34,3.40,3.28
1956-11-01,3.49,3.56,3.44
1956-12-01,3.59,3.70,3.68
1957-01-01,3.46,3.47,3.37
1957-02-01,3.34,3.39,3.38
1957-03-01,3.41,3.46,3.42
1957-04-01,3.48,3.53,3.49
1957-05-01,3.60,3.64,3.48
1957-06-01,3.80,3.83,3.65
1957-07-01,3.93,4.00,3.81
1957-08-01,3.93,4.00,4.01
1957-09-01,3.92,4.03,4.07
1957-10-01,3.97,4.08,4.01
1957-11-01,3.72,3.72,3.57
1957-12-01,3.21,3.08,3.18
1958-01-01,3.09,2.88,2.65
1958-02-01,3.05,2.78,1.99
1958-03-01,2.98,2.64,1.84
1958-04-01,2.88,2.46,1.45
1958-05-01,2.92,2.41,1.37
1958-06-01,2.97,2.46,1.23
1958-07-01,3.20,2.77,1.61
1958-08-01,3.54,3.29,2.50
1958-09-01,3.76,3.69,3.05
1958-10-01,3.80,3.78,3.19
1958-11-01,3.74,3.70,3.10
1958-12-01,3.86,3.82,3.29
1959-01-01,4.02,4.01,3.36
1959-02-01,3.96,3.96,3.54
1959-03-01,3.99,3.99,3.61
1959-04-01,4.12,4.12,3.72
1959-05-01,4.31,4.35,3.96
1959-06-01,4.34,4.50,4.07
1959-07-01,4.40,4.58,4.39
1959-08-01,4.43,4.57,4.42
1959-09-01,4.68,4.90,5.00
1959-10-01,4.53,4.72,4.80
1959-11-01,4.53,4.75,4.81
1959-12-01,4.69,5.01,5.14
1960-01-01,4.72,4.92,5.03
1960-02-01,4.49,4.69,4.66
1960-03-01,4.25,4.31,4.02
1960-04-01,4.28,4.29,4.04
1960-05-01,4.35,4.49,4.21
1960-06-01,4.15,4.12,3.36
1960-07-01,3.90,3.79,3.20
1960-08-01,3.80,3.62,2.95
1960-09-01,3.80,3.61,3.07
1960-10-01,3.89,3.76,3.04
1960-11-01,3.93,3.81,3.08
1960-12-01,3.84,3.67,2.86
1961-01-01,3.84,3.67,2.81
1961-02-01,3.78,3.66,2.93
